"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Injury Mechanism & All Other Leading Causes"	"Injury Mechanism & All Other Leading Causes Code"	Deaths	Population	Crude Rate
	"10-14 years"	"10-14"	"Non-Injury: Pneumoconioses and chemical effects"	"GR113-087"	0	250939740	Unreliable
	"10-14 years"	"10-14"	"Non-Injury: Pneumonitis due to solids and liquids"	"GR113-088"	92	250939740	0.0
	"10-14 years"	"10-14"	"Non-Injury: Other diseases of respiratory system"	"GR113-089"	427	250939740	0.2
	"10-14 years"	"10-14"	"Non-Injury: Peptic ulcer"	"GR113-090"	11	250939740	Unreliable
	"10-14 years"	"10-14"	"Non-Injury: Diseases of appendix"	"GR113-091"	78	250939740	0.0
	"10-14 years"	"10-14"	"Non-Injury: Hernia"	"GR113-092"	19	250939740	Unreliable
	"10-14 years"	"10-14"	"Non-Injury: Chronic liver disease and cirrhosis"	"GR113 093"	16	250939740	Unreliable
	"10-14 years"	"10-14"	"Non-Injury: Cholelithiasis and other disorders of gallbladder"	"GR113-096"	8	250939740	Unreliable
	"10-14 years"	"10-14"	"Non-Injury: Nephritis, nephrotic syndrome and nephrosis"	"GR113 097"	148	250939740	0.1
	"10-14 years"	"10-14"	"Non-Injury: Infections of kidney"	"GR113-102"	12	250939740	Unreliable
	"10-14 years"	"10-14"	"Non-Injury: Hyperplasia of prostate"	"GR113-103"	0	250939740	Unreliable
	"10-14 years"	"10-14"	"Non-Injury: Inflammatory diseases of female pelvic organs"	"GR113-104"	2	250939740	Unreliable
	"10-14 years"	"10-14"	"Non-Injury: Pregnancy with abortive outcome"	"GR113-106"	3	250939740	Unreliable
	"10-14 years"	"10-14"	"Non-Injury: Other complications of pregnancy, childbirth and the puerperium"	"GR113-107"	11	250939740	Unreliable
	"10-14 years"	"10-14"	"Non-Injury: Certain conditions originating in the perinatal period"	"GR113-108"	152	250939740	0.1
	"10-14 years"	"10-14"	"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities"	"GR113-109"	2229	250939740	0.9
	"10-14 years"	"10-14"	"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"GR113-110"	962	250939740	0.4
	"10-14 years"	"10-14"	"Non-Injury: All other diseases (Residual)"	"GR113-111"	5729	250939740	2.3
	"10-14 years"	"10-14"	"Non-Injury: Complications of medical and surgical care"	"GR113-135"	126	250939740	0.1
"Total"	"10-14 years"	"10-14"			44258	250939740	17.6
	"15-19 years"	"15-19"	"Cut/Pierce"	"GRINJ-001"	2122	255076636	0.8
	"15-19 years"	"15-19"	"Drowning"	"GRINJ-002"	4000	255076636	1.6
	"15-19 years"	"15-19"	"Fall"	"GRINJ-003"	1468	255076636	0.6
	"15-19 years"	"15-19"	"Fire/Flame"	"GRINJ-004"	1044	255076636	0.4
	"15-19 years"	"15-19"	"Hot object/Substance"	"GRINJ-005"	5	255076636	Unreliable
	"15-19 years"	"15-19"	"Firearm"	"GRINJ-006"	30940	255076636	12.1
	"15-19 years"	"15-19"	"Machinery"	"GRINJ-007"	182	255076636	0.1
	"15-19 years"	"15-19"	"Motor Vehicle Traffic"	"GRINJ-008"	55197	255076636	21.6
	"15-19 years"	"15-19"	"Other Pedal cyclist"	"GRINJ-009"	142	255076636	0.1
	"15-19 years"	"15-19"	"Other Pedestrian"	"GRINJ-010"	784	255076636	0.3
	"15-19 years"	"15-19"	"Other land transport"	"GRINJ-011"	1910	255076636	0.7
	"15-19 years"	"15-19"	"Other transport"	"GRINJ-012"	659	255076636	0.3
	"15-19 years"	"15-19"	"Natural/Environmental"	"GRINJ-013"	346	255076636	0.1
	"15-19 years"	"15-19"	"Overexertion"	"GRINJ-014"	2	255076636	Unreliable
	"15-19 years"	"15-19"	"Poisoning"	"GRINJ-015"	9502	255076636	3.7
	"15-19 years"	"15-19"	"Struck by or against"	"GRINJ-016"	461	255076636	0.2
	"15-19 years"	"15-19"	"Suffocation"	"GRINJ-017"	8724	255076636	3.4
	"15-19 years"	"15-19"	"Other specified, classifiable Injury"	"GRINJ-018"	905	255076636	0.4
	"15-19 years"	"15-19"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	679	255076636	0.3
	"15-19 years"	"15-19"	"Unspecified Injury"	"GRINJ-020"	1724	255076636	0.7
	"15-19 years"	"15-19"	"Non-Injury: Intestinal infections"	"GR113 001-003"	28	255076636	0.0
	"15-19 years"	"15-19"	"Non-Injury: Tuberculosis"	"GR113 005-006"	28	255076636	0.0
	"15-19 years"	"15-19"	"Non-Injury: Whooping cough"	"GR113-007"	0	255076636	Unreliable
	"15-19 years"	"15-19"	"Non-Injury: Scarlet fever and erysipelas"	"GR113-008"	0	255076636	Unreliable
	"15-19 years"	"15-19"	"Non-Injury: Meningococcal infection"	"GR113-009"	215	255076636	0.1
	"15-19 years"	"15-19"	"Non-Injury: Septicemia"	"GR113-010"	608	255076636	0.2
	"15-19 years"	"15-19"	"Non-Injury: Syphilis"	"GR113-011"	2	255076636	Unreliable
	"15-19 years"	"15-19"	"Non-Injury: Acute poliomyelitis"	"GR113-012"	0	255076636	Unreliable
	"15-19 years"	"15-19"	"Non-Injury: Arthropod-borne viral encephalitis"	"GR113-013"	1	255076636	Unreliable
	"15-19 years"	"15-19"	"Non-Injury: Measles"	"GR113-014"	0	255076636	Unreliable
	"15-19 years"	"15-19"	"Non-Injury: Viral hepatitis"	"GR113-015"	47	255076636	0.0
	"15-19 years"	"15-19"	"Non-Injury: Human immunodeficiency virus (HIV) disease"	"GR113-016"	382	255076636	0.1
	"15-19 years"	"15-19"	"Non-Injury: Malaria"	"GR113-017"	1	255076636	Unreliable
	"15-19 years"	"15-19"	"Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae"	"GR113-018"	509	255076636	0.2
	"15-19 years"	"15-19"	"Non-Injury: Malignant neoplasms (Cancers)"	"GR113 020-043"	8375	255076636	3.3
	"15-19 years"	"15-19"	"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior"	"GR113-044"	542	255076636	0.2
	"15-19 years"	"15-19"	"Non-Injury: Anemias"	"GR113-045"	475	255076636	0.2
	"15-19 years"	"15-19"	"Non-Injury: Diabetes mellitus"	"GR113-046"	602	255076636	0.2
	"15-19 years"	"15-19"	"Non-Injury: Nutritional Deficiencies"	"GR113 048-049"	31	255076636	0.0
	"15-19 years"	"15-19"	"Non-Injury: Meningitis"	"GR113-050"	148	255076636	0.1
	"15-19 years"	"15-19"	"Non-Injury: Parkinsons disease"	"GR113-051"	7	255076636	Unreliable
	"15-19 years"	"15-19"	"Non-Injury: Alzheimers disease"	"GR113-052"	0	255076636	Unreliable
	"15-19 years"	"15-19"	"Non-Injury: Diseases of Heart"	"GR113 055-068"	4512	255076636	1.8
	"15-19 years"	"15-19"	"Non-Injury: Essential (primary) hypertension and hypertensive renal disease"	"GR113-069"	69	255076636	0.0
	"15-19 years"	"15-19"	"Non-Injury: Cerebrovascular diseases, including stroke"	"GR113-070"	850	255076636	0.3
	"15-19 years"	"15-19"	"Non-Injury: Atherosclerosis"	"GR113-071"	6	255076636	Unreliable
	"15-19 years"	"15-19"	"Non-Injury: Other diseases of the circulatory system"	"GR113 073-074"	243	255076636	0.1
	"15-19 years"	"15-19"	"Non-Injury: Other disorders of circulatory system"	"GR113-075"	158	255076636	0.1
	"15-19 years"	"15-19"	"Non-Injury: Influenza & Pneumonia"	"GR113 077-078"	894	255076636	0.4
	"15-19 years"	"15-19"	"Non-Injury: Other acute lower respiratory infections"	"GR113 079"	19	255076636	Unreliable
	"15-19 years"	"15-19"	"Non-Injury: Chronic lower respiratory diseases"	"GR113 082"	938	255076636	0.4
	"15-19 years"	"15-19"	"Non-Injury: Pneumoconioses and chemical effects"	"GR113-087"	3	255076636	Unreliable
	"15-19 years"	"15-19"	"Non-Injury: Pneumonitis due to solids and liquids"	"GR113-088"	165	255076636	0.1
	"15-19 years"	"15-19"	"Non-Injury: Other diseases of respiratory system"	"GR113-089"	647	255076636	0.3
	"15-19 years"	"15-19"	"Non-Injury: Peptic ulcer"	"GR113-090"	23	255076636	0.0
	"15-19 years"	"15-19"	"Non-Injury: Diseases of appendix"	"GR113-091"	63	255076636	0.0
	"15-19 years"	"15-19"	"Non-Injury: Hernia"	"GR113-092"	24	255076636	0.0
	"15-19 years"	"15-19"	"Non-Injury: Chronic liver disease and cirrhosis"	"GR113 093"	48	255076636	0.0
	"15-19 years"	"15-19"	"Non-Injury: Cholelithiasis and other disorders of gallbladder"	"GR113-096"	21	255076636	0.0
	"15-19 years"	"15-19"	"Non-Injury: Nephritis, nephrotic syndrome and nephrosis"	"GR113 097"	292	255076636	0.1
	"15-19 years"	"15-19"	"Non-Injury: Infections of kidney"	"GR113-102"	16	255076636	Unreliable
	"15-19 years"	"15-19"	"Non-Injury: Hyperplasia of prostate"	"GR113-103"	0	255076636	Unreliable
	"15-19 years"	"15-19"	"Non-Injury: Inflammatory diseases of female pelvic organs"	"GR113-104"	6	255076636	Unreliable
	"15-19 years"	"15-19"	"Non-Injury: Pregnancy with abortive outcome"	"GR113-106"	31	255076636	0.0
	"15-19 years"	"15-19"	"Non-Injury: Other complications of pregnancy, childbirth and the puerperium"	"GR113-107"	409	255076636	0.2
	"15-19 years"	"15-19"	"Non-Injury: Certain conditions originating in the perinatal period"	"GR113-108"	120	255076636	0.0
	"15-19 years"	"15-19"	"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities"	"GR113-109"	2764	255076636	1.1
	"15-19 years"	"15-19"	"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"GR113-110"	2980	255076636	1.2
	"15-19 years"	"15-19"	"Non-Injury: All other diseases (Residual)"	"GR113-111"	9271	255076636	3.6
	"15-19 years"	"15-19"	"Non-Injury: Complications of medical and surgical care"	"GR113-135"	195	255076636	0.1
"Total"	"15-19 years"	"15-19"			157564	255076636	61.8
	"20-24 years"	"20-24"	"Cut/Pierce"	"GRINJ-001"	3804	246218551	1.5
	"20-24 years"	"20-24"	"Drowning"	"GRINJ-002"	4152	246218551	1.7
	"20-24 years"	"20-24"	"Fall"	"GRINJ-003"	2766	246218551	1.1
	"20-24 years"	"20-24"	"Fire/Flame"	"GRINJ-004"	1567	246218551	0.6
	"20-24 years"	"20-24"	"Hot object/Substance"	"GRINJ-005"	21	246218551	0.0
	"20-24 years"	"20-24"	"Firearm"	"GRINJ-006"	49343	246218551	20.0
	"20-24 years"	"20-24"	"Machinery"	"GRINJ-007"	428	246218551	0.2
	"20-24 years"	"20-24"	"Motor Vehicle Traffic"	"GRINJ-008"	63049	246218551	25.6
	"20-24 years"	"20-24"	"Other Pedal cyclist"	"GRINJ-009"	124	246218551	0.1
	"20-24 years"	"20-24"	"Other Pedestrian"	"GRINJ-010"	916	246218551	0.4
	"20-24 years"	"20-24"	"Other land transport"	"GRINJ-011"	2013	246218551	0.8
	"20-24 years"	"20-24"	"Other transport"	"GRINJ-012"	1147	246218551	0.5
	"20-24 years"	"20-24"	"Natural/Environmental"	"GRINJ-013"	493	246218551	0.2
	"20-24 years"	"20-24"	"Overexertion"	"GRINJ-014"	8	246218551	Unreliable
	"20-24 years"	"20-24"	"Poisoning"	"GRINJ-015"	25714	246218551	10.4
	"20-24 years"	"20-24"	"Struck by or against"	"GRINJ-016"	779	246218551	0.3
	"20-24 years"	"20-24"	"Suffocation"	"GRINJ-017"	11681	246218551	4.7
	"20-24 years"	"20-24"	"Other specified, classifiable Injury"	"GRINJ-018"	1731	246218551	0.7
	"20-24 years"	"20-24"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	1177	246218551	0.5
	"20-24 years"	"20-24"	"Unspecified Injury"	"GRINJ-020"	2670	246218551	1.1
	"20-24 years"	"20-24"	"Non-Injury: Intestinal infections"	"GR113 001-003"	51	246218551	0.0
	"20-24 years"	"20-24"	"Non-Injury: Tuberculosis"	"GR113 005-006"	78	246218551	0.0
	"20-24 years"	"20-24"	"Non-Injury: Whooping cough"	"GR113-007"	0	246218551	Unreliable
	"20-24 years"	"20-24"	"Non-Injury: Scarlet fever and erysipelas"	"GR113-008"	1	246218551	Unreliable
	"20-24 years"	"20-24"	"Non-Injury: Meningococcal infection"	"GR113-009"	159	246218551	0.1
	"20-24 years"	"20-24"	"Non-Injury: Septicemia"	"GR113-010"	1024	246218551	0.4
	"20-24 years"	"20-24"	"Non-Injury: Syphilis"	"GR113-011"	0	246218551	Unreliable
	"20-24 years"	"20-24"	"Non-Injury: Acute poliomyelitis"	"GR113-012"	0	246218551	Unreliable
	"20-24 years"	"20-24"	"Non-Injury: Arthropod-borne viral encephalitis"	"GR113-013"	2	246218551	Unreliable
	"20-24 years"	"20-24"	"Non-Injury: Measles"	"GR113-014"	0	246218551	Unreliable
	"20-24 years"	"20-24"	"Non-Injury: Viral hepatitis"	"GR113-015"	114	246218551	0.0
	"20-24 years"	"20-24"	"Non-Injury: Human immunodeficiency virus (HIV) disease"	"GR113-016"	1756	246218551	0.7
	"20-24 years"	"20-24"	"Non-Injury: Malaria"	"GR113-017"	4	246218551	Unreliable
	"20-24 years"	"20-24"	"Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae"	"GR113-018"	553	246218551	0.2
	"20-24 years"	"20-24"	"Non-Injury: Malignant neoplasms (Cancers)"	"GR113 020-043"	11773	246218551	4.8
	"20-24 years"	"20-24"	"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior"	"GR113-044"	580	246218551	0.2
	"20-24 years"	"20-24"	"Non-Injury: Anemias"	"GR113-045"	774	246218551	0.3
	"20-24 years"	"20-24"	"Non-Injury: Diabetes mellitus"	"GR113-046"	1429	246218551	0.6
	"20-24 years"	"20-24"	"Non-Injury: Nutritional Deficiencies"	"GR113 048-049"	50	246218551	0.0
	"20-24 years"	"20-24"	"Non-Injury: Meningitis"	"GR113-050"	196	246218551	0.1
	"20-24 years"	"20-24"	"Non-Injury: Parkinsons disease"	"GR113-051"	11	246218551	Unreliable
	"20-24 years"	"20-24"	"Non-Injury: Alzheimers disease"	"GR113-052"	2	246218551	Unreliable
	"20-24 years"	"20-24"	"Non-Injury: Diseases of Heart"	"GR113 055-068"	8187	246218551	3.3
	"20-24 years"	"20-24"	"Non-Injury: Essential (primary) hypertension and hypertensive renal disease"	"GR113-069"	180	246218551	0.1
	"20-24 years"	"20-24"	"Non-Injury: Cerebrovascular diseases, including stroke"	"GR113-070"	1503	246218551	0.6
	"20-24 years"	"20-24"	"Non-Injury: Atherosclerosis"	"GR113-071"	18	246218551	Unreliable
	"20-24 years"	"20-24"	"Non-Injury: Other diseases of the circulatory system"	"GR113 073-074"	454	246218551	0.2
	"20-24 years"	"20-24"	"Non-Injury: Other disorders of circulatory system"	"GR113-075"	339	246218551	0.1
	"20-24 years"	"20-24"	"Non-Injury: Influenza & Pneumonia"	"GR113 077-078"	1555	246218551	0.6
	"20-24 years"	"20-24"	"Non-Injury: Other acute lower respiratory infections"	"GR113 079"	26	246218551	0.0
	"20-24 years"	"20-24"	"Non-Injury: Chronic lower respiratory diseases"	"GR113 082"	1141	246218551	0.5
	"20-24 years"	"20-24"	"Non-Injury: Pneumoconioses and chemical effects"	"GR113-087"	1	246218551	Unreliable
	"20-24 years"	"20-24"	"Non-Injury: Pneumonitis due to solids and liquids"	"GR113-088"	320	246218551	0.1
	"20-24 years"	"20-24"	"Non-Injury: Other diseases of respiratory system"	"GR113-089"	913	246218551	0.4
	"20-24 years"	"20-24"	"Non-Injury: Peptic ulcer"	"GR113-090"	51	246218551	0.0
	"20-24 years"	"20-24"	"Non-Injury: Diseases of appendix"	"GR113-091"	64	246218551	0.0
	"20-24 years"	"20-24"	"Non-Injury: Hernia"	"GR113-092"	29	246218551	0.0
	"20-24 years"	"20-24"	"Non-Injury: Chronic liver disease and cirrhosis"	"GR113 093"	266	246218551	0.1
	"20-24 years"	"20-24"	"Non-Injury: Cholelithiasis and other disorders of gallbladder"	"GR113-096"	71	246218551	0.0
	"20-24 years"	"20-24"	"Non-Injury: Nephritis, nephrotic syndrome and nephrosis"	"GR113 097"	736	246218551	0.3
	"20-24 years"	"20-24"	"Non-Injury: Infections of kidney"	"GR113-102"	52	246218551	0.0
	"20-24 years"	"20-24"	"Non-Injury: Hyperplasia of prostate"	"GR113-103"	0	246218551	Unreliable
	"20-24 years"	"20-24"	"Non-Injury: Inflammatory diseases of female pelvic organs"	"GR113-104"	25	246218551	0.0
	"20-24 years"	"20-24"	"Non-Injury: Pregnancy with abortive outcome"	"GR113-106"	77	246218551	0.0
	"20-24 years"	"20-24"	"Non-Injury: Other complications of pregnancy, childbirth and the puerperium"	"GR113-107"	1239	246218551	0.5
	"20-24 years"	"20-24"	"Non-Injury: Certain conditions originating in the perinatal period"	"GR113-108"	76	246218551	0.0
	"20-24 years"	"20-24"	"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities"	"GR113-109"	2744	246218551	1.1
	"20-24 years"	"20-24"	"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"GR113-110"	5625	246218551	2.3
	"20-24 years"	"20-24"	"Non-Injury: All other diseases (Residual)"	"GR113-111"	13864	246218551	5.6
	"20-24 years"	"20-24"	"Non-Injury: Complications of medical and surgical care"	"GR113-135"	258	246218551	0.1
"Total"	"20-24 years"	"20-24"			231954	246218551	94.2
	"25-29 years"	"25-29"	"Cut/Pierce"	"GRINJ-001"	3410	237615884	1.4
	"25-29 years"	"25-29"	"Drowning"	"GRINJ-002"	3275	237615884	1.4
	"25-29 years"	"25-29"	"Fall"	"GRINJ-003"	2638	237615884	1.1
	"25-29 years"	"25-29"	"Fire/Flame"	"GRINJ-004"	1660	237615884	0.7
	"25-29 years"	"25-29"	"Hot object/Substance"	"GRINJ-005"	19	237615884	Unreliable
	"25-29 years"	"25-29"	"Firearm"	"GRINJ-006"	40465	237615884	17.0
	"25-29 years"	"25-29"	"Machinery"	"GRINJ-007"	460	237615884	0.2
	"25-29 years"	"25-29"	"Motor Vehicle Traffic"	"GRINJ-008"	43570	237615884	18.3
	"25-29 years"	"25-29"	"Other Pedal cyclist"	"GRINJ-009"	102	237615884	0.0
	"25-29 years"	"25-29"	"Other Pedestrian"	"GRINJ-010"	856	237615884	0.4
	"25-29 years"	"25-29"	"Other land transport"	"GRINJ-011"	1517	237615884	0.6
	"25-29 years"	"25-29"	"Other transport"	"GRINJ-012"	1385	237615884	0.6
	"25-29 years"	"25-29"	"Natural/Environmental"	"GRINJ-013"	562	237615884	0.2
	"25-29 years"	"25-29"	"Overexertion"	"GRINJ-014"	8	237615884	Unreliable
	"25-29 years"	"25-29"	"Poisoning"	"GRINJ-015"	32136	237615884	13.5
	"25-29 years"	"25-29"	"Struck by or against"	"GRINJ-016"	797	237615884	0.3
	"25-29 years"	"25-29"	"Suffocation"	"GRINJ-017"	11312	237615884	4.8
	"25-29 years"	"25-29"	"Other specified, classifiable Injury"	"GRINJ-018"	1736	237615884	0.7
	"25-29 years"	"25-29"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	1221	237615884	0.5
	"25-29 years"	"25-29"	"Unspecified Injury"	"GRINJ-020"	2509	237615884	1.1
	"25-29 years"	"25-29"	"Non-Injury: Intestinal infections"	"GR113 001-003"	59	237615884	0.0
	"25-29 years"	"25-29"	"Non-Injury: Tuberculosis"	"GR113 005-006"	89	237615884	0.0
	"25-29 years"	"25-29"	"Non-Injury: Whooping cough"	"GR113-007"	0	237615884	Unreliable
	"25-29 years"	"25-29"	"Non-Injury: Scarlet fever and erysipelas"	"GR113-008"	0	237615884	Unreliable
	"25-29 years"	"25-29"	"Non-Injury: Meningococcal infection"	"GR113-009"	86	237615884	0.0
	"25-29 years"	"25-29"	"Non-Injury: Septicemia"	"GR113-010"	1522	237615884	0.6
	"25-29 years"	"25-29"	"Non-Injury: Syphilis"	"GR113-011"	1	237615884	Unreliable
	"25-29 years"	"25-29"	"Non-Injury: Acute poliomyelitis"	"GR113-012"	0	237615884	Unreliable
	"25-29 years"	"25-29"	"Non-Injury: Arthropod-borne viral encephalitis"	"GR113-013"	1	237615884	Unreliable
	"25-29 years"	"25-29"	"Non-Injury: Measles"	"GR113-014"	1	237615884	Unreliable
	"25-29 years"	"25-29"	"Non-Injury: Viral hepatitis"	"GR113-015"	263	237615884	0.1
	"25-29 years"	"25-29"	"Non-Injury: Human immunodeficiency virus (HIV) disease"	"GR113-016"	5563	237615884	2.3
	"25-29 years"	"25-29"	"Non-Injury: Malaria"	"GR113-017"	3	237615884	Unreliable
	"25-29 years"	"25-29"	"Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae"	"GR113-018"	707	237615884	0.3
	"25-29 years"	"25-29"	"Non-Injury: Malignant neoplasms (Cancers)"	"GR113 020-043"	16329	237615884	6.9
	"25-29 years"	"25-29"	"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior"	"GR113-044"	800	237615884	0.3
	"25-29 years"	"25-29"	"Non-Injury: Anemias"	"GR113-045"	872	237615884	0.4
	"25-29 years"	"25-29"	"Non-Injury: Diabetes mellitus"	"GR113-046"	2608	237615884	1.1
	"25-29 years"	"25-29"	"Non-Injury: Nutritional Deficiencies"	"GR113 048-049"	81	237615884	0.0
	"25-29 years"	"25-29"	"Non-Injury: Meningitis"	"GR113-050"	205	237615884	0.1
	"25-29 years"	"25-29"	"Non-Injury: Parkinsons disease"	"GR113-051"	17	237615884	Unreliable
	"25-29 years"	"25-29"	"Non-Injury: Alzheimers disease"	"GR113-052"	3	237615884	Unreliable
	"25-29 years"	"25-29"	"Non-Injury: Diseases of Heart"	"GR113 055-068"	13569	237615884	5.7
	"25-29 years"	"25-29"	"Non-Injury: Essential (primary) hypertension and hypertensive renal disease"	"GR113-069"	374	237615884	0.2
	"25-29 years"	"25-29"	"Non-Injury: Cerebrovascular diseases, including stroke"	"GR113-070"	2313	237615884	1.0
	"25-29 years"	"25-29"	"Non-Injury: Atherosclerosis"	"GR113-071"	21	237615884	0.0
	"25-29 years"	"25-29"	"Non-Injury: Other diseases of the circulatory system"	"GR113 073-074"	677	237615884	0.3
	"25-29 years"	"25-29"	"Non-Injury: Other disorders of circulatory system"	"GR113-075"	556	237615884	0.2
	"25-29 years"	"25-29"	"Non-Injury: Influenza & Pneumonia"	"GR113 077-078"	1985	237615884	0.8
	"25-29 years"	"25-29"	"Non-Injury: Other acute lower respiratory infections"	"GR113 079"	23	237615884	0.0
	"25-29 years"	"25-29"	"Non-Injury: Chronic lower respiratory diseases"	"GR113 082"	1415	237615884	0.6
	"25-29 years"	"25-29"	"Non-Injury: Pneumoconioses and chemical effects"	"GR113-087"	5	237615884	Unreliable
	"25-29 years"	"25-29"	"Non-Injury: Pneumonitis due to solids and liquids"	"GR113-088"	374	237615884	0.2
	"25-29 years"	"25-29"	"Non-Injury: Other diseases of respiratory system"	"GR113-089"	1080	237615884	0.5
	"25-29 years"	"25-29"	"Non-Injury: Peptic ulcer"	"GR113-090"	101	237615884	0.0
	"25-29 years"	"25-29"	"Non-Injury: Diseases of appendix"	"GR113-091"	52	237615884	0.0
	"25-29 years"	"25-29"	"Non-Injury: Hernia"	"GR113-092"	44	237615884	0.0
	"25-29 years"	"25-29"	"Non-Injury: Chronic liver disease and cirrhosis"	"GR113 093"	1066	237615884	0.4
	"25-29 years"	"25-29"	"Non-Injury: Cholelithiasis and other disorders of gallbladder"	"GR113-096"	99	237615884	0.0
	"25-29 years"	"25-29"	"Non-Injury: Nephritis, nephrotic syndrome and nephrosis"	"GR113 097"	1166	237615884	0.5
	"25-29 years"	"25-29"	"Non-Injury: Infections of kidney"	"GR113-102"	63	237615884	0.0
	"25-29 years"	"25-29"	"Non-Injury: Hyperplasia of prostate"	"GR113-103"	0	237615884	Unreliable
	"25-29 years"	"25-29"	"Non-Injury: Inflammatory diseases of female pelvic organs"	"GR113-104"	20	237615884	0.0
	"25-29 years"	"25-29"	"Non-Injury: Pregnancy with abortive outcome"	"GR113-106"	91	237615884	0.0
	"25-29 years"	"25-29"	"Non-Injury: Other complications of pregnancy, childbirth and the puerperium"	"GR113-107"	1567	237615884	0.7
	"25-29 years"	"25-29"	"Non-Injury: Certain conditions originating in the perinatal period"	"GR113-108"	49	237615884	0.0
	"25-29 years"	"25-29"	"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities"	"GR113-109"	2588	237615884	1.1
	"25-29 years"	"25-29"	"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"GR113-110"	6555	237615884	2.8
	"25-29 years"	"25-29"	"Non-Injury: All other diseases (Residual)"	"GR113-111"	16580	237615884	7.0
	"25-29 years"	"25-29"	"Non-Injury: Complications of medical and surgical care"	"GR113-135"	351	237615884	0.1
"Total"	"25-29 years"	"25-29"			231632	237615884	97.5
	"30-34 years"	"30-34"	"Cut/Pierce"	"GRINJ-001"	3132	240147817	1.3
	"30-34 years"	"30-34"	"Drowning"	"GRINJ-002"	2798	240147817	1.2
	"30-34 years"	"30-34"	"Fall"	"GRINJ-003"	2803	240147817	1.2
	"30-34 years"	"30-34"	"Fire/Flame"	"GRINJ-004"	1661	240147817	0.7
	"30-34 years"	"30-34"	"Hot object/Substance"	"GRINJ-005"	19	240147817	Unreliable
	"30-34 years"	"30-34"	"Firearm"	"GRINJ-006"	32869	240147817	13.7
	"30-34 years"	"30-34"	"Machinery"	"GRINJ-007"	461	240147817	0.2
	"30-34 years"	"30-34"	"Motor Vehicle Traffic"	"GRINJ-008"	35567	240147817	14.8
	"30-34 years"	"30-34"	"Other Pedal cyclist"	"GRINJ-009"	127	240147817	0.1
	"30-34 years"	"30-34"	"Other Pedestrian"	"GRINJ-010"	844	240147817	0.4
	"30-34 years"	"30-34"	"Other land transport"	"GRINJ-011"	1356	240147817	0.6
	"30-34 years"	"30-34"	"Other transport"	"GRINJ-012"	1620	240147817	0.7
	"30-34 years"	"30-34"	"Natural/Environmental"	"GRINJ-013"	622	240147817	0.3
	"30-34 years"	"30-34"	"Overexertion"	"GRINJ-014"	6	240147817	Unreliable
	"30-34 years"	"30-34"	"Poisoning"	"GRINJ-015"	36128	240147817	15.0
	"30-34 years"	"30-34"	"Struck by or against"	"GRINJ-016"	870	240147817	0.4
	"30-34 years"	"30-34"	"Suffocation"	"GRINJ-017"	11316	240147817	4.7
	"30-34 years"	"30-34"	"Other specified, classifiable Injury"	"GRINJ-018"	1919	240147817	0.8
	"30-34 years"	"30-34"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	1432	240147817	0.6
	"30-34 years"	"30-34"	"Unspecified Injury"	"GRINJ-020"	2661	240147817	1.1
	"30-34 years"	"30-34"	"Non-Injury: Intestinal infections"	"GR113 001-003"	94	240147817	0.0
	"30-34 years"	"30-34"	"Non-Injury: Tuberculosis"	"GR113 005-006"	125	240147817	0.1
	"30-34 years"	"30-34"	"Non-Injury: Whooping cough"	"GR113-007"	0	240147817	Unreliable
	"30-34 years"	"30-34"	"Non-Injury: Scarlet fever and erysipelas"	"GR113-008"	2	240147817	Unreliable
	"30-34 years"	"30-34"	"Non-Injury: Meningococcal infection"	"GR113-009"	61	240147817	0.0
	"30-34 years"	"30-34"	"Non-Injury: Septicemia"	"GR113-010"	2218	240147817	0.9
	"30-34 years"	"30-34"	"Non-Injury: Syphilis"	"GR113-011"	9	240147817	Unreliable
	"30-34 years"	"30-34"	"Non-Injury: Acute poliomyelitis"	"GR113-012"	0	240147817	Unreliable
	"30-34 years"	"30-34"	"Non-Injury: Arthropod-borne viral encephalitis"	"GR113-013"	1	240147817	Unreliable
	"30-34 years"	"30-34"	"Non-Injury: Measles"	"GR113-014"	0	240147817	Unreliable
